time,id,pos,in_network
756,9,"[31.765955686743723, 59.53709522827694]",true
756,10,"[32.329840995877355, 45.83600585469325]",true
757,1,"[53.29897339724984, 44.956380568443436]",true
757,5,"[69.80845311315207, 53.642923199523466]",true
757,6,"[50.03436005555264, 54.636662126905826]",true
757,7,"[45.83843367308003, 55.76893919676827]",true
757,9,"[31.680714344911646, 59.589351470055895]",true
757,10,"[32.24962409268016, 45.858088877756074]",true
758,1,"[53.33052419461517, 44.99198726449746]",true
758,5,"[69.8656645132547, 53.64717677875807]",true
758,6,"[50.036061776333085, 54.63753114336259]",true
758,7,"[45.91368280085203, 55.83476328066523]",true
758,9,"[31.59547300307958, 59.641607711834844]",true
758,10,"[32.16940718948297, 45.88017190081891]",true
759,1,"[53.36207499198051, 45.02759396055148]",true
759,5,"[69.92287591335732, 53.65143035799269]",true
759,6,"[50.03776349711354, 54.63840015981934]",true
759,7,"[45.98893192862403, 55.900587364562185]",true
759,9,"[31.510231661247513, 59.6938639536138]",true
759,10,"[32.08919028628578, 45.902254923881735]",true
760,1,"[53.37081704554609, 45.0394668602633]",true
760,5,"[69.98008731345996, 53.6556839372273]",true
760,6,"[50.039465217893984, 54.639269176276095]",true
760,7,"[46.06418105639603, 55.96641144845915]",true
760,9,"[31.424990319415436, 59.746120195392756]",true
760,10,"[32.00897338308858, 45.92433794694457]",true
761,1,"[53.36604740053562, 45.03728006843508]",true
761,5,"[70.03729871356258, 53.65993751646191]",true
761,6,"[50.04116693867443, 54.640138192732856]",true
761,7,"[46.13943018416803, 56.0322355323561]",true
761,9,"[31.33974897758337, 59.798376437171704]",true
761,10,"[31.928756479891394, 45.946420970007395]",true
762,1,"[53.36127775552516, 45.03509327660685]",true
762,5,"[70.09451011366521, 53.66419109569652]",true
762,6,"[50.042868659454875, 54.64100720918961]",true
762,7,"[46.21467931194004, 56.09805961625306]",true
762,9,"[31.25450763575129, 59.85063267895066]",true
762,10,"[31.848539576694197, 45.96850399307023]",true
763,1,"[53.35650811051469, 45.03290648477863]",true
763,5,"[70.09451011366521, 53.66419109569652]",true
763,6,"[50.04457038023532, 54.64187622564637]",true
763,7,"[46.289928439712035, 56.163883700150016]",true
763,9,"[31.16926629391922, 59.90288892072961]",true
763,10,"[31.76832267349701, 45.990587016133055]",true
764,1,"[53.351738465504226, 45.030719692950406]",true
764,5,"[70.18734903017722, 53.62713429976506]",true
764,6,"[50.04627210101577, 54.642745242103125]",true
764,7,"[46.36517756748403, 56.229707784046965]",true
